h_samp_id,host,loc_name,latitude,longitude,state,month,year,month_year,screened_n,malaria_n,pk_n,pv_n,po_n,pcy_n,pin_n,malaria_rate,pk_rate,pk_bin
1,human,Kem Bukit Tinggi,2.286795,103.6728,Johor,6,2019,30/6/2019,11,1,1,0,0,0,0,0.090909091,0.090909091,1
2,human,Kem Bukit Tinggi,2.286795,103.6728,Johor,1,2020,31/1/2020,5,1,0,1,0,0,0,0.2,0,0
3,human,"Kem Mahkota, Kluang (Markas 7 Briged)",2.043816,103.305998,Johor,6,2019,30/6/2019,56,2,0,2,0,0,0,0.035714286,0,0
4,human,"Kem Mahkota, Kluang (Markas 7 Briged)",2.043816,103.305998,Johor,1,2020,31/1/2020,45,3,3,0,0,0,0,0.066666667,0.066666667,1
5,human,"Kem Ulu Tiram, PULADA, Kota Tinggi ",1.622473,103.832902,Johor,6,2019,30/6/2019,90,2,0,1,1,0,0,0.022222222,0,0
6,human,"Kem Ulu Tiram, PULADA, Kota Tinggi ",1.622473,103.832902,Johor,1,2020,31/1/2020,10,3,2,0,0,0,0,0.3,0.2,1
7,human,"Ladang Lembu, Gunung Panti, Kota Tinggi ",1.867088,103.832862,Johor,1,2020,31/1/2020,23,2,1,1,0,0,0,0.086956522,0.043478261,1
8,human,"Kampung Sungai Layau, Kota Tinggi",1.543894,104.059192,Johor,1,2020,31/1/2020,21,3,3,0,0,0,0,0.095238095,0.095238095,1
9,human,"Kg. Sri Delima, Kota Tinggi, Johor",1.706985,103.825545,Johor,1,2020,31/1/2020,11,0,0,0,0,0,0,0,0,0
10,human,"KG KUALA KECHAU, KUALA LIPIS",4.19153,102.087015,Pahang,7,2019,31/7/2019,24,0,0,0,0,0,0,0,0,0
11,human,"KG BUKIT PETOLA, KUALA LIPIS",4.411103,102.063833,Pahang,7,2019,31/7/2019,12,0,0,0,0,0,0,0,0,0
12,human,"KG RTP SG ULAR, KUALA LIPIS",4.209407,101.885686,Pahang,7,2019,31/7/2019,23,0,0,0,0,0,0,0,0,0
13,human,"KG KUALA KENONG, KUALA LIPIS",4.168564,102.190642,Pahang,7,2019,31/7/2019,6,0,0,0,0,0,0,0,0,0
14,human,"Taman Rimba Ampang, Hulu Langat",3.158231,101.798538,Selangor,12,2019,31/12/2019,47,0,0,0,0,0,0,0,0,0
15,human,Kg. OA Pertak,3.579622,101.732826,Selangor,12,2019,31/12/2019,15,2,0,1,0,0,1,0.133333333,0,0
16,human,Kg. OA Sg. Relong,3.574552,101.654804,Selangor,12,2019,31/12/2019,11,1,0,1,0,0,0,0.090909091,0,0
17,human,"Kg. Banjir 2, Maran",3.500671,102.577305,Pahang,10,2019,31/10/2019,12,1,0,1,0,0,0,0.083333333,0,0
18,human,UiTM Jengka,3.752329,102.56217,Pahang,2,2020,29/2/2020,71,2,0,0,0,0,2,0.028169014,0,0
19,human,"Kg. Som, Jerantut",3.94859,102.234797,Pahang,10,2019,31/10/2019,20,0,0,0,0,0,0,0,0,0
20,human,"Kg. Damak, Jerantut",3.949985,102.213612,Pahang,2,2020,29/2/2020,20,0,0,0,0,0,0,0,0,0
21,human,"Pos Pasik, Gua Musang",5.21576,101.763281,Kelantan,8,2019,31/8/2019,21,0,0,0,0,0,0,0,0,0
22,human,Kg. Setawar,4.906306,101.789242,Kelantan,8,2019,31/8/2019,21,0,0,0,0,0,0,0,0,0
23,human,Kg. Kuala Betis,4.901611,101.788194,Kelantan,8,2019,31/8/2019,20,0,0,0,0,0,0,0,0,0
24,human,Kg. Lalang,4.905839,101.821934,Kelantan,8,2019,31/8/2019,18,0,0,0,0,0,0,0,0,0
25,human,FELDA Aring 5,4.80738,102.320656,Kelantan,10,2019,31/10/2019,47,0,0,0,0,0,0,0,0,0
26,human,RKT KESEDAR Sg. Asap 1,4.95999,102.080521,Kelantan,10,2019,31/10/2019,14,0,0,0,0,0,0,0,0,0
27,human,Kuarters Guru KESEDAR Renok Baru,4.940099,102.047427,Kelantan,10,2019,31/10/2019,2,0,0,0,0,0,0,0,0,0
28,human,Kampung Blau,4.760933,101.754638,Kelantan,2,2020,29/2/2020,7,0,0,0,0,0,0,0,0,0
29,human,Kampung Sri Mahligai,5.248276,102.010045,Kelantan,2,2020,29/2/2020,1,0,0,0,0,0,0,0,0,0
30,human,Kampung Dusun Durian,5.245371,102.02381,Kelantan,2,2020,29/2/2020,15,0,0,0,0,0,0,0,0,0
31,human,Kampung Legeh,5.750258,101.898191,Kelantan,2,2020,29/2/2020,35,1,1,0,0,0,0,0.028571429,0.028571429,1
32,human,"Pos Dipang, Kampar",4.369741,101.247356,Perak,12,2020,31/12/2020,22,0,0,0,0,0,0,0,0,0
33,human,"Kg. Sg. Limau, Kampar",4.361591,101.232165,Perak,12,2020,31/12/2020,14,0,0,0,0,0,0,0,0,0
34,human,"Kg. Sg. Dara, Muallim",3.789502,101.498619,Perak,12,2020,31/12/2020,21,0,0,0,0,0,0,0,0,0
