m_samp_id,host,state,month,year,month_year,loc_name,latitude,longitude,day_count,macaque_n,malaria_n,pk_n,pcy_n,pin_n,pct_n,pfi_n,malaria_rate,pk_rate,pcy_rate,pin_rate,pct_rate,pfi_rate,pk_bin,pcy_bin,pin_bin,pct_bin,pfi_bin,pk_cat,pcy_cat,pin_cat,pct_cat,pfi_cat
1,macaque,Johor,6,2019,30/6/2019,"Kampung Muhibah, Kota Tinggi",1.52168,104.1456,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2,macaque,Johor,6,2019,30/6/2019,"Kampung Orang Asli, Bandar Penawar, Kota Tinggi",1.546782,104.063144,1,9,8,5,6,7,7,7,0.888888889,0.555555556,0.666666667,0.777777778,0.777777778,0.777777778,1,1,1,1,1,2,3,3,3,3
3,macaque,Johor,6,2019,30/6/2019,"Kampung Shaari, Simpang Renggam, Kluang",1.8287,103.3226,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4,macaque,Johor,6,2019,30/6/2019,"Kampung Melayu, Batu 4, Paloh, Kluang",2.2071,103.1927,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
5,macaque,Johor,6,2019,30/6/2019,"Batu 7, Simpang Renggam, Kluang",1.8362,103.3374,1,7,3,0,3,1,0,0,0.428571429,0,0.428571429,0.142857143,0,0,0,1,1,0,0,1,2,2,1,1
6,macaque,Johor,6,2019,30/6/2019,"Bukit Nyamuk, Simpang Renggam, Kluang",1.7605,103.3891,1,13,9,3,7,4,0,1,0.692307692,0.230769231,0.538461538,0.307692308,0,0.076923077,1,1,1,0,1,2,3,2,1,2
7,macaque,Johor,9,2020,30/9/2020,"Endau Semaloi, Mersing",2.635275,103.638408,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
8,macaque,Johor,9,2020,30/9/2020,"Felda Tenggaruh Aroh Satu, Mersing",2.087249,103.876255,1,15,15,15,5,15,12,8,1,1,0.333333333,1,0.8,0.533333333,1,1,1,1,1,4,2,4,4,3
9,macaque,Johor,9,2020,30/9/2020,"Ayer Tawar, Mersing",2.634318,103.64179,1,2,1,1,0,0,0,1,0.5,0.5,0,0,0,0.5,1,0,0,0,1,2,1,1,1,2
10,macaque,Johor,9,2020,30/9/2020,"Nitar Dua, Mersing",2.39628,103.670488,1,8,7,1,2,7,5,3,0.875,0.125,0.25,0.875,0.625,0.375,1,1,1,1,1,2,2,3,2,2
11,macaque,Selangor,10,2019,31/10/2019,"Hulu Langat, Selangor",2.8675,101.8385,1,5,4,2,4,0,0,0,0.8,0.4,0.8,0,0,0,1,1,0,0,0,2,2,1,1,1
12,macaque,Selangor,11,2019,30/11/2019,"UKM, Hulu Langat,  Selangor",2.9293,101.7799,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,2,1,2,1
13,macaque,Selangor,12,2019,31/12/2019,"UKM, Hulu Langat,  Selangor",2.9293,101.7799,2,4,2,1,1,0,1,0,0.5,0.25,0.25,0,0.25,0,1,1,0,1,0,2,2,1,2,1
14,macaque,Selangor,4,2022,30/4/2022,"Jalan Sesapan Batu Rembau, Semenyih, Hulu Langat",2.8942775,101.8772194,1,3,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
15,macaque,Selangor,4,2022,30/4/2022,"Desa Indah, Sepang",2.698706,101.7564933,1,11,1,0,0,1,0,1,0.090909091,0,0,0.090909091,0,0.090909091,0,0,1,0,1,1,1,2,1,2
16,macaque,Selangor,4,2022,30/4/2022,"Jenderam Hilir, Dengkil, Sepang",2.8853938,101.728271,1,8,8,5,8,2,1,5,1,0.625,1,0.25,0.125,0.625,1,1,1,1,1,2,3,2,2,2
17,macaque,Selangor,4,2022,30/4/2022,"Mahkamah Salak Tinggi, Sepang",2.8238895,101.7238317,1,9,8,6,5,3,2,4,0.888888889,0.666666667,0.555555556,0.333333333,0.222222222,0.444444444,1,1,1,1,1,3,2,2,2,2
18,macaque,Selangor,5,2022,31/5/2022,"Desa Indah, Sepang, Hulu Langat",2.6981162,101.7555863,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
19,macaque,Selangor,5,2022,31/5/2022,"Ijok, Sabak Bernam",3.3209037,101.4297848,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
20,macaque,Selangor,6,2022,30/6/2022,"Jalan Rasa, Bukit Sentosa, Hulu Selangor",3.4450725,101.6003308,1,7,7,4,3,7,6,7,1,0.571428571,0.428571429,1,0.857142857,1,1,1,1,1,1,2,2,3,3,3
21,macaque,Selangor,6,2022,30/6/2022,"Pulau Indah, Klang, Petaling",2.9351036,101.3161654,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
22,macaque,Selangor,6,2022,30/6/2022,"Kg Endah, Tanjung Sepat, Kuala Langat",2.7339508,101.4678083,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
23,macaque,Pahang,10,2019,31/10/2019,"Kg Relong, Kuala Lipis, Pahang",4.2071969,101.9626555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
24,macaque,Pahang,11,2019,30/11/2019,"Kg Beletik, Kuala Lipis, Pahang 1",4.1746254,101.9091628,2,20,20,13,16,15,19,11,1,0.65,0.8,0.75,0.95,0.55,1,1,1,1,1,4,4,4,4,4
25,macaque,Pahang,11,2019,30/11/2019,"Kolej Vokasional Sultan Haji Ahmad Shah, Kuala Lipis Pahang",4.0922517,102.0061229,2,12,12,6,6,11,11,4,1,0.5,0.5,0.916666667,0.916666667,0.333333333,1,1,1,1,1,3,3,4,4,2
26,macaque,Pahang,12,2019,31/12/2019,"Sungai Kerpan, Kuala Lipis, Pahang",4.1870288,102.0436588,1,6,6,4,6,6,6,6,1,0.666666667,1,1,1,1,1,1,1,1,1,2,3,3,3,3
27,macaque,Pahang,12,2019,31/12/2019,"Kg Beletik, Kuala Lipis, Pahang 2",4.016509,101.9100844,1,10,10,4,9,10,8,9,1,0.4,0.9,1,0.8,0.9,1,1,1,1,1,2,3,3,3,3
28,macaque,Pahang,12,2019,31/12/2019,"CCRC Benda, Kuala Lipis, Pahang",4.050368,101.9861081,1,3,3,3,2,3,2,2,1,1,0.666666667,1,0.666666667,0.666666667,1,1,1,1,1,2,2,2,2,2
29,macaque,Pahang,3,2020,31/3/2020,"Masjid Kechau Tui, Kuala Lipis, Pahang",4.2911464,101.9778253,1,8,8,8,7,8,8,8,1,1,0.875,1,1,1,1,1,1,1,1,3,3,3,3,3
30,macaque,Pahang,9,2022,30/9/2022,"Indera Mahkota 13, Astana Willa, Kuantan",3.8370726,103.2727817,1,2,2,1,0,1,1,2,1,0.5,0,0.5,0.5,1,1,0,1,1,1,2,1,2,2,2
