v_samp_id,v_site_id,month,year,state,latitude,longitude,month_year,day_count,an_total,lg_total,lc_total,an_pernite,lg_pernite,lc_pernite,malaria_n,pcy_n,pin_n,pct_n,pfi_n,mal_bin,pcy_cat,pin_cat,pct_cat,pfi_cat,malaria_rate,pcy_rate,pin_rate,pct_rate,pfi_rate,malaria_rate_lg,pcy_rate_lg,pin_rate_lg,pct_rate_lg,pfi_rate_lg
1,10,6,2019,Johor,1.871949,103.873255,30/6/2019,1,44,5,5,44,5,5,1,0,1,0,0,1,1,2,1,1,0.022727273,0,0.022727273,0,0,0.2,0,0.2,0,0
2,8,6,2019,Johor,1.8715,103.8726,30/6/2019,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
3,3,6,2019,Johor,1.68975,103.82631,30/6/2019,1,4,0,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
4,4,6,2019,Johor,1.70988,103.82481,30/6/2019,1,3,1,1,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
5,6,6,2019,Johor,1.87078,103.87005,30/6/2019,1,169,19,19,169,19,19,5,1,1,0,0,1,2,2,1,1,0.029585799,0.00591716,0.00591716,0,0,0.263157895,0.052631579,0.052631579,0,0
6,17,6,2019,Johor,2.28702,103.67233,30/6/2019,2,109,64,64,54.5,32,32,5,3,4,0,0,1,3,3,1,1,0.04587156,0.027522936,0.036697248,0,0,0.078125,0.046875,0.0625,0,0
7,13,6,2019,Johor,2.22453,103.70299,30/6/2019,1,21,17,17,21,17,17,3,2,2,0,0,1,2,2,1,1,0.142857143,0.095238095,0.095238095,0,0,0.176470588,0.117647059,0.117647059,0,0
8,15,6,2019,Johor,2.22474,103.70304,30/6/2019,1,25,6,6,25,6,6,1,1,1,0,0,1,2,2,1,1,0.04,0.04,0.04,0,0,0.166666667,0.166666667,0.166666667,0,0
9,18,9,2019,Johor,2.29632,103.66621,30/9/2019,2,10,6,6,5,3,3,1,0,1,1,0,1,1,2,2,1,0.1,0,0.1,0.1,0,0.166666667,0,0.166666667,0.166666667,0
10,1,9,2019,Johor,1.54342,104.06133,30/9/2019,1,15,0,0,15,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
11,2,9,2019,Johor,1.544217,104.056898,30/9/2019,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
12,12,9,2019,Johor,2.21703,103.58695,30/9/2019,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
13,5,9,2019,Johor,1.775437,103.353245,30/9/2019,1,47,0,0,47,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
14,20,9,2019,Johor,2.505136,103.838459,30/9/2019,1,5,0,0,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
15,7,9,2019,Johor,1.8713291,103.8741479,30/9/2019,1,9,0,0,9,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
16,18,1,2020,Johor,2.29632,103.66621,31/1/2020,2,139,93,93,69.5,46.5,46.5,2,0,1,0,1,1,1,2,1,2,0.014388489,0,0.007194245,0,0.007194245,0.021505376,0,0.010752688,0,0.010752688
17,16,1,2020,Johor,2.23876,103.57962,31/1/2020,2,13,1,1,6.5,0.5,0.5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
18,14,1,2020,Johor,2.22454,103.70299,31/1/2020,2,76,48,48,38,24,24,5,0,4,0,0,1,1,3,1,1,0.065789474,0,0.052631579,0,0,0.104166667,0,0.083333333,0,0
19,18,3,2020,Johor,2.29632,103.66621,31/3/2020,1,12,12,12,12,12,12,2,0,2,1,1,1,1,2,2,2,0.166666667,0,0.166666667,0.083333333,0.083333333,0.166666667,0,0.166666667,0.083333333,0.083333333
20,18,7,2020,Johor,2.29632,103.66621,31/7/2020,4,86,85,85,21.5,21.25,21.25,5,0,3,0,3,1,1,3,1,3,0.058139535,0,0.034883721,0,0.034883721,0.058823529,0,0.035294118,0,0.035294118
21,14,7,2020,Johor,2.22454,103.70299,31/7/2020,3,25,25,25,8.333333333,8.333333333,8.333333333,2,0,2,0,0,1,1,2,1,1,0.08,0,0.08,0,0,0.08,0,0.08,0,0
22,9,7,2020,Johor,1.871779,103.873108,31/7/2020,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
23,11,7,2020,Johor,2.07172,103.51373,31/7/2020,1,4,0,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
24,48,8,2019,Kelantan,4.90906,101.816266,31/8/2019,1,4,3,3,4,3,3,1,0,1,0,1,1,1,2,1,2,0.25,0,0.25,0,0.25,0.333333333,0,0.333333333,0,0.333333333
25,49,8,2019,Kelantan,4.916344,101.873183,31/8/2019,1,3,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
26,47,8,2019,Kelantan,4.908821,101.788657,31/8/2019,1,5,0,0,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
27,51,8,2019,Kelantan,4.955759,102.367751,31/8/2019,1,4,0,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
28,48,10,2019,Kelantan,4.90906,101.816266,31/10/2019,1,16,13,13,16,13,13,1,1,1,0,1,1,2,2,1,2,0.0625,0.0625,0.0625,0,0.0625,0.076923077,0.076923077,0.076923077,0,0.076923077
29,50,10,2019,Kelantan,4.92055,101.81331,31/10/2019,1,2,1,1,2,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
30,48,2,2020,Kelantan,4.90906,101.816266,29/2/2020,1,3,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
31,52,2,2020,Kelantan,5.263287,102.02956,29/2/2020,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
32,48,9,2020,Kelantan,4.90906,101.816266,30/9/2020,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
33,53,9,2020,Kelantan,5.303691,102.155539,30/9/2020,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
34,39,7,2019,Pahang ,4.192129,102.09176,31/7/2019,1,2,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
35,41,7,2019,Pahang ,4.214726,101.863896,31/7/2019,1,16,5,0,16,5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
36,41,10,2019,Pahang ,4.214726,101.863896,31/10/2019,1,5,3,0,5,3,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
37,36,10,2019,Pahang ,3.950144,102.23685,31/10/2019,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
38,40,10,2019,Pahang ,4.194951,101.99192,31/10/2019,1,16,0,0,16,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
39,38,2,2020,Pahang ,4.09055,102.0074,29/2/2020,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
40,32,2,2020,Pahang ,3.761055,102.571508,29/2/2020,1,7,7,3,7,7,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
41,32,8,2020,Pahang ,3.761055,102.571508,31/8/2020,1,23,21,2,23,21,2,1,0,1,0,0,1,1,2,1,1,0.043478261,0,0.043478261,0,0,0.047619048,0,0.047619048,0,0
42,30,8,2020,Pahang ,3.693695,102.430571,31/8/2020,1,4,0,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
43,37,12,2020,Pahang ,3.991371,101.896157,31/12/2020,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
44,32,12,2020,Pahang ,3.761055,102.571508,31/12/2020,1,5,3,0,5,3,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
45,31,11,2021,Pahang ,3.760521,102.572278,30/11/2021,1,16,16,5,16,16,5,2,0,2,0,0,1,1,2,1,1,0.125,0,0.125,0,0,0.125,0,0.125,0,0
46,29,11,2021,Pahang ,3.481915,101.883865,30/11/2021,1,5,0,0,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
47,33,11,2021,Pahang ,3.780853,101.84801,30/11/2021,1,2,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
48,45,12,2020,Perak,4.356554,101.231956,31/12/2020,1,6,0,0,6,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
49,46,12,2020,Perak,4.361763,101.229934,31/12/2020,1,5,0,0,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
50,35,12,2020,Perak,3.797381,101.529072,31/12/2020,1,11,1,1,11,1,1,1,0,1,0,0,1,1,2,1,1,0.090909091,0,0.090909091,0,0,1,0,1,0,0
51,55,4,2021,Perak,5.578858,101.098869,30/4/2021,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
52,54,4,2021,Perak,5.51721,101.1926,30/4/2021,1,11,0,0,11,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
53,43,4,2021,Perak,4.281476,101.321598,30/4/2021,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
54,42,4,2021,Perak,4.271716,101.317662,30/4/2021,1,3,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
55,34,4,2021,Perak,3.796273,101.520888,30/4/2021,1,8,2,2,8,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
56,34,8,2021,Perak,3.796273,101.520888,31/8/2021,1,28,1,1,28,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
57,44,8,2021,Perak,4.30748,101.22774,31/8/2021,1,3,3,3,3,3,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
58,34,5,2022,Perak,3.796273,101.520888,31/5/2022,1,37,3,3,37,3,3,1,0,1,0,0,1,1,2,1,1,0.027027027,0,0.027027027,0,0,0.333333333,0,0.333333333,0,0
59,57,3,2021,Kedah,5.99749,100.882898,31/3/2021,1,12,0,0,12,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
60,56,3,2021,Kedah,5.704565,100.95817,31/3/2021,1,20,0,0,20,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
